track_name,track_id,artist(s)_name,artist_count,released_year,released_month,released_day,popularity,acousticness_%,danceability_%,duration_ms,energy_%,instrumentalness_%,key,liveness_%,loudness,mode,speechiness_%,tempo(bpm),time_signature,valence_%
TRUCK BED,103u49mLoJUge83B1CnLxI,HARDY,1,2023,1,20,80,8.75,66.2,167535,77.0,0.0,0,35.0,-4.887,1,3.67,132.057,4,0.769
"One Of The Girls (with JENNIE, Lily Rose Depp)",7CyPwkp0oE8Ro9Dd5CUDjW,The Weeknd & JENNIE & Lily-Rose Depp,3,2023,6,23,93,5.45,52.2,244685,64.1,0.0,8,16.2,-6.287,1,3.18,87.51,4,0.202
Sarah's Place (feat. Noah Kahan),1fvC3CmNAbsx0V9ULMU8NB,Zach Bryan & Noah Kahan,2,2023,9,21,81,41.0,57.6,214056,68.30000000000001,0.0,7,8.19,-5.103,1,11.8,151.566,4,0.433
the grudge,3Nl5OkkmS5DaBZvuYofpAt,Olivia Rodrigo,1,2023,9,8,84,91.6,54.8,189386,30.7,0.0,10,8.28,-9.214,1,7.81,127.923,4,0.317
Thought You Should Know,3Qu3Zh4WTKhP9GEXo0aDnb,Morgan Wallen,1,2023,3,3,80,50.6,53.0,215572,67.80000000000001,0.000623,6,13.8,-6.16,1,2.78,140.05,4,0.508
Paint The Town Red,56y1jOTK0XSvJzVv9vHQBK,Doja Cat,1,2023,9,20,88,25.5,86.4,230480,55.60000000000001,0.000385,2,11.2,-7.683,0,19.4,99.974,4,0.726
MR. TAKE YA B*TCH (FEAT. CHRISEANROCK),38R5sydMbsBzSPGPMfmtpb,Lil Mabu & chriseanrock,2,2023,10,17,82,0.152,70.7,108750,44.4,0.0,1,12.5,-11.232,1,25.8,164.117,4,0.322
Slow Dancing,5h1BN75CEh8wdSwE1xrbSe,V,1,2023,9,8,94,25.7,57.9,187027,63.0,0.462,8,9.86,-7.758,1,5.800000000000001,155.96,4,0.552
Enchanted (Taylor's Version),3sW3oSbzsfecv9XoUdGs7h,Taylor Swift,1,2023,7,7,87,1.2,50.5,353253,53.2,0.0,8,14.9,-3.526,1,2.65,81.907,4,0.216
Dial Drunk,0caJ2wkqp4UmXBwdR2JvB5,Noah Kahan,1,2023,6,9,81,9.69,69.3,213817,59.5,0.0,8,11.3,-7.578,1,3.11,112.02,4,0.646
